iter	MultiClass
0	1.023132955
1	0.9604357844
2	0.9100276847
3	0.8629906994
4	0.8246673676
5	0.7896180685
6	0.7606489322
7	0.7322366044
8	0.7093903095
9	0.6884364237
10	0.6725771147
11	0.6541019778
12	0.6374996593
13	0.6254442385
14	0.6131303904
15	0.6009328526
16	0.5891993308
17	0.5794191752
18	0.5716480582
19	0.5618883171
20	0.5536898058
21	0.5469454382
22	0.5413128035
23	0.5346079222
24	0.5277917275
25	0.5211210005
26	0.516025929
27	0.512661287
28	0.5082150313
29	0.5048862899
30	0.5024150014
31	0.4976090588
32	0.4942614569
33	0.4903276366
34	0.4881955365
35	0.4862351681
36	0.484153557
37	0.4825939744
38	0.4811231441
39	0.4774445869
40	0.4757113259
41	0.4738709351
42	0.4721421225
43	0.4703813491
44	0.4678339733
45	0.4665235759
46	0.4654569365
47	0.4639816055
48	0.4626391594
49	0.4615709071
50	0.45842556
51	0.4573365959
52	0.4556427871
53	0.454405356
54	0.4526026658
55	0.4517387249
56	0.4497358789
57	0.4490657139
58	0.4474721617
59	0.4467213967
60	0.4453554649
61	0.4443292844
62	0.4435875201
63	0.4430036765
64	0.4418144914
65	0.4407805693
66	0.4394119726
67	0.4387512281
68	0.4375514155
69	0.4365097032
70	0.4352772046
71	0.4343418228
72	0.4326225016
73	0.4316557696
74	0.431055684
75	0.4304858772
76	0.4294146953
77	0.4277717851
78	0.4269431176
79	0.4258747287
80	0.4250946022
81	0.4242968082
82	0.4226725607
83	0.4221998103
84	0.4212709095
85	0.4205353037
86	0.4193217428
87	0.4185317955
88	0.418310037
89	0.4176153769
90	0.416462348
91	0.415431116
92	0.4144008693
93	0.4139062637
94	0.4135760594
95	0.4131802719
96	0.4124064932
97	0.411658436
98	0.4113745321
99	0.4107018392
100	0.4096605197
101	0.4084517891
102	0.4075768876
103	0.4071767486
104	0.4065620275
105	0.4059598517
106	0.4055508254
107	0.4045984941
108	0.4040450695
109	0.4035989498
110	0.4024892585
111	0.4016106093
112	0.4012944126
113	0.4005584735
114	0.3998250507
115	0.3987309085
116	0.3979760397
117	0.3976052317
118	0.3971914328
119	0.3967544009
120	0.3959731083
121	0.3956846351
122	0.3948123616
123	0.394205029
124	0.3932703617
125	0.3929345593
126	0.3920131181
127	0.3913139775
128	0.3908758293
129	0.3902259057
130	0.3895805112
131	0.3889832444
132	0.3888421865
133	0.3885901235
134	0.388156563
135	0.3877533259
136	0.3869288315
137	0.3863877268
138	0.386138731
139	0.3859571826
140	0.3852039673
141	0.3845456005
142	0.3837727316
143	0.3833917908
144	0.3830677685
145	0.3828197399
146	0.3824098245
147	0.3814132997
148	0.3807952055
149	0.3798989868
150	0.3796833974
151	0.3795013608
152	0.3787846819
153	0.3779979927
154	0.3775094563
155	0.3772273074
156	0.3767479399
157	0.3764971994
158	0.3760989567
159	0.3757032211
160	0.3749581913
161	0.3738184362
162	0.3732242996
163	0.3727845701
164	0.3724892189
165	0.3718861749
166	0.3714871621
167	0.3710966451
168	0.3706028785
169	0.3703069453
170	0.3699214306
171	0.3693850662
172	0.369029962
173	0.368521466
174	0.3682323285
175	0.3674835893
176	0.3672533934
177	0.3664905351
178	0.3663648565
179	0.3658139393
180	0.3652978656
181	0.3647514366
182	0.3644244922
183	0.3642414031
184	0.3639199576
185	0.3635804174
186	0.3632553963
187	0.3627642676
188	0.3626038754
189	0.3622985218
190	0.3620553334
191	0.3618005778
192	0.3613823973
193	0.3609781967
194	0.3608637975
195	0.3603718203
196	0.3601065532
197	0.3597546124
198	0.3591854569
199	0.3589085393
200	0.3586643585
201	0.3584408574
202	0.3581282062
203	0.3577431091
204	0.3575340513
205	0.3569950714
206	0.3563740536
207	0.3561278912
208	0.3555985901
209	0.3552656206
210	0.3544258556
211	0.354124796
212	0.3539445896
213	0.3536504736
214	0.3534133272
215	0.3532701223
216	0.3527176561
217	0.3522100675
218	0.351895817
219	0.3516649248
220	0.3512605296
221	0.3507281747
222	0.3505323592
223	0.350274143
224	0.3496170677
225	0.3490368962
226	0.3489037206
227	0.3486300486
228	0.3480339673
229	0.3478283375
230	0.3475313072
231	0.3470750332
232	0.3464888066
233	0.3460828064
234	0.345779589
235	0.3455670431
236	0.3448939596
237	0.344349396
238	0.3440480899
239	0.3436885561
240	0.3433853931
241	0.3430120585
242	0.3425496774
243	0.342397548
244	0.3418726181
245	0.3414903666
246	0.3410368646
247	0.3401767364
248	0.3398377372
249	0.339413888
250	0.3391816281
251	0.3388263585
252	0.3383531153
253	0.3380734976
254	0.3378296232
255	0.3374253079
256	0.3370247571
257	0.3368243635
258	0.336562623
259	0.3360425799
260	0.3355990432
261	0.3353458257
262	0.3352234514
263	0.3348273815
264	0.3345749751
265	0.33435524
266	0.3340315513
267	0.3336610068
268	0.3333418591
269	0.3329249475
270	0.3327092301
271	0.3322045549
272	0.3319296034
273	0.3316724885
274	0.3313610933
275	0.3310926167
276	0.3309041572
277	0.3305268887
278	0.3303732073
279	0.330017429
280	0.32951098
281	0.3293003012
282	0.3291506095
283	0.3286738715
284	0.3282164468
285	0.3280473144
286	0.3278410017
287	0.327628169
288	0.3271013151
289	0.3268817365
290	0.3268013303
291	0.3264162501
292	0.3258498833
293	0.3257440273
294	0.3252932488
295	0.3249763848
296	0.3247423352
297	0.3244414516
298	0.324243295
299	0.3241022053
300	0.3236600048
301	0.3233534394
302	0.3231155028
303	0.3226382603
304	0.3224027515
305	0.3222253043
306	0.3220567155
307	0.3215499228
308	0.3213342668
309	0.3211186559
310	0.3208648738
311	0.3205299554
312	0.320457428
313	0.3200580717
314	0.3197092566
315	0.3195409953
316	0.3193290549
317	0.3190331682
318	0.3187922149
319	0.3186140449
320	0.3185328694
321	0.3182549295
322	0.3179822115
323	0.317449059
324	0.3169524924
325	0.3166430137
326	0.3164970905
327	0.3160861294
328	0.3153434944
329	0.315217678
330	0.3148053999
331	0.3142465433
332	0.3141712514
333	0.3139869648
334	0.3138541874
335	0.313588744
336	0.3131303506
337	0.3127459282
338	0.3123064815
339	0.311931581
340	0.3114713305
341	0.3111950358
342	0.310885483
343	0.3107076396
344	0.3104720617
345	0.310015113
346	0.3096910822
347	0.3095336673
348	0.3092094981
349	0.309086299
350	0.3088910243
351	0.3085300876
352	0.3083551786
353	0.3081020486
354	0.3079858432
355	0.3078246321
356	0.3077112045
357	0.3076105731
358	0.306883633
359	0.3067335738
360	0.306367037
361	0.3061308146
362	0.3057742013
363	0.3056002173
364	0.305375074
365	0.3050483015
366	0.3045772007
367	0.3041513062
368	0.3038642054
369	0.303662695
370	0.3035088291
371	0.3030447141
372	0.3028266818
373	0.3022629904
374	0.3020763595
375	0.3019705426
376	0.3016341699
377	0.3012049214
378	0.3010226004
379	0.3005848597
380	0.3001740271
381	0.2996815917
382	0.2995605565
383	0.2990462588
384	0.2988062516
385	0.2986014264
386	0.2981677154
387	0.2978713743
388	0.2975421852
389	0.297383346
390	0.2971927674
391	0.2970972798
392	0.2967121236
393	0.2965091437
