iter	Passed	Remaining
0	1	520
1	2	509
2	2	482
3	3	466
4	4	457
5	5	458
6	6	451
7	7	447
8	8	444
9	9	445
10	9	444
11	10	445
12	11	444
13	12	442
14	13	442
15	14	437
16	15	435
17	16	432
18	17	434
19	18	432
20	18	430
21	19	428
22	20	426
23	21	423
24	22	422
25	23	421
26	23	420
27	24	418
28	25	417
29	26	416
30	27	415
31	28	415
32	29	417
33	30	416
34	31	416
35	32	416
36	33	415
37	34	415
38	35	413
39	35	413
40	36	413
41	38	415
42	39	415
43	40	416
44	41	417
45	42	417
46	43	416
47	44	415
48	45	414
49	45	413
50	46	413
51	47	410
52	48	408
53	49	405
54	49	404
55	50	402
56	51	400
57	52	399
58	53	397
59	54	396
60	54	394
61	55	392
62	56	391
63	57	390
64	58	388
65	58	386
66	59	384
67	60	383
68	61	381
69	61	380
70	62	378
71	63	376
72	64	375
73	64	373
74	65	371
75	66	368
76	66	367
77	67	365
78	68	363
79	68	361
80	69	359
81	70	357
82	70	356
83	71	354
84	72	352
85	72	351
86	73	349
87	74	347
88	74	345
89	75	344
90	76	342
91	76	340
92	77	338
93	78	337
94	78	335
95	79	333
96	79	331
97	80	330
98	81	328
99	81	327
100	82	325
101	83	324
102	83	322
103	84	321
104	84	319
105	85	318
106	86	316
107	86	314
108	87	313
109	88	312
110	88	310
111	89	309
112	89	307
113	90	306
114	91	304
115	91	303
116	92	302
117	92	300
118	93	299
119	94	298
120	94	297
121	95	296
122	96	295
123	96	294
124	97	292
125	98	291
126	98	290
127	99	289
128	100	287
129	100	286
130	101	285
131	101	284
132	102	282
133	103	281
134	103	280
135	104	279
136	104	277
137	105	276
138	106	275
139	106	274
140	107	273
141	107	272
142	108	271
143	109	270
144	110	269
145	110	268
146	111	267
147	112	266
148	112	265
149	113	264
150	113	263
151	114	261
152	115	260
153	115	259
154	116	258
155	116	257
156	117	256
157	118	255
158	118	254
159	119	253
160	119	252
161	120	251
162	121	250
163	121	249
164	122	248
165	122	247
166	123	246
167	124	245
168	124	244
169	125	243
170	126	242
171	126	241
172	127	240
173	127	239
174	128	238
175	129	237
176	129	236
177	130	235
178	130	234
179	131	233
180	132	232
181	132	231
182	133	230
183	133	229
184	134	229
185	135	228
186	135	227
187	136	226
188	136	225
189	137	224
190	138	223
191	138	222
192	139	221
193	139	220
194	140	219
195	141	218
196	141	217
197	142	216
198	142	215
199	143	215
200	144	214
201	144	213
202	145	212
203	145	211
204	146	210
205	147	209
206	147	209
207	148	208
208	148	207
209	149	206
210	150	205
211	150	204
212	151	203
213	151	202
214	152	202
215	153	201
216	153	200
217	154	199
218	154	198
219	155	197
220	156	197
221	156	196
222	157	195
223	157	194
224	158	193
225	159	193
226	159	192
227	160	191
228	161	190
229	161	189
230	162	188
231	162	188
232	163	187
233	163	186
234	164	185
235	165	184
236	165	183
237	166	183
238	167	182
239	167	181
240	168	180
241	168	179
242	169	179
243	170	178
244	170	177
245	171	176
246	171	176
247	172	175
248	173	174
249	173	173
250	174	173
251	175	172
252	175	171
253	176	170
254	176	170
255	177	169
256	178	168
257	178	167
258	179	166
259	180	166
260	180	165
261	181	164
262	181	163
263	182	163
264	183	162
265	183	161
266	184	160
267	184	160
268	185	159
269	186	158
270	186	157
271	187	157
272	188	156
273	188	155
274	189	154
275	189	154
276	190	153
277	191	152
278	191	151
279	192	151
280	192	150
281	193	149
282	194	148
283	194	148
284	195	147
285	196	146
286	196	145
287	197	145
288	197	144
289	198	143
290	199	143
291	199	142
292	200	141
293	200	140
294	201	140
295	202	139
296	202	138
297	203	137
298	204	137
299	204	136
300	205	135
301	205	135
302	206	134
303	207	133
304	207	132
305	208	132
306	208	131
307	209	130
308	210	129
309	210	129
310	211	128
311	211	127
312	212	126
313	212	126
314	213	125
315	214	124
316	214	123
317	215	123
318	215	122
319	216	121
320	216	120
321	217	120
322	218	119
323	218	118
324	219	118
325	220	117
326	220	116
327	221	116
328	221	115
329	222	114
330	223	113
331	223	113
