Id,Category
0,2
1,1
2,2
3,2
4,1
5,1
6,3
7,3
8,1
9,1
10,2
11,2
12,3
13,1
14,2
15,2
16,2
17,3
18,3
19,1
20,1
21,2
22,2
23,3
24,1
25,1
26,2
27,1
28,3
29,3
30,1
31,2
32,2
33,2
34,3
35,3
36,1
37,3
38,1
39,1
40,3
41,2
42,1
43,3
44,3
45,1
46,1
47,2
48,3
49,1
50,3
51,3
52,1
53,3
54,3
55,2
56,3
57,3
58,3
59,2
60,1
61,3
62,3
63,2
64,2
65,1
66,2
67,3
68,2
69,2
70,2
71,1
72,2
73,1
74,1
75,3
76,2
77,2
78,1
79,3
80,1
81,2
82,3
83,3
84,1
85,3
86,3
87,3
88,1
89,2
90,2
91,1
92,2
93,3
94,3
95,1
96,3
97,2
98,1
99,3
100,2
101,3
102,3
103,1
104,3
105,2
106,1
107,2
108,2
109,2
110,2
111,3
112,2
113,2
114,3
115,1
116,1
117,1
118,3
119,2
120,1
121,2
122,3
123,1
124,3
125,2
126,3
127,3
128,1
129,2
130,3
131,2
132,3
133,3
134,1
135,1
136,3
137,2
138,1
139,1
140,2
141,3
142,2
143,1
144,1
145,2
146,3
147,3
148,3
149,2
150,3
151,3
152,3
153,3
154,3
155,3
156,1
157,3
158,1
159,3
160,1
161,2
162,2
163,1
164,1
165,2
166,3
167,1
168,1
169,3
170,1
171,2
172,2
173,3
174,2
175,1
176,1
177,2
178,3
179,3
180,3
181,1
182,3
183,2
184,2
185,3
186,3
187,3
188,2
189,1
190,2
191,2
192,3
193,1
194,3
195,2
196,3
197,1
198,2
199,3
200,2
201,1
202,3
203,3
204,1
205,1
206,3
207,2
208,2
209,3
210,2
211,3
212,2
213,3
214,2
215,2
216,3
217,3
218,2
219,3
220,1
221,1
222,1
223,1
224,1
225,3
226,1
227,3
228,2
229,1
230,1
231,3
232,2
233,2
234,2
235,2
236,2
237,3
238,3
239,3
240,1
241,3
242,1
243,3
244,2
245,2
246,3
247,1
248,3
249,2
250,3
251,3
252,3
253,2
254,1
255,3
256,2
257,2
258,3
259,1
260,3
261,1
262,2
263,1
264,3
265,3
266,1
267,2
268,1
269,1
270,3
271,2
272,3
273,1
274,1
275,2
276,1
277,1
278,2
279,2
280,2
281,2
282,1
283,2
284,3
285,2
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,2
294,3
295,1
296,3
297,1
298,1
299,2
300,2
301,1
302,1
303,2
304,3
305,1
306,3
307,2
308,2
309,1
310,1
311,3
312,1
313,1
314,3
315,2
316,2
317,2
318,1
319,1
320,2
321,2
322,3
323,1
324,1
325,3
326,2
327,3
328,3
329,2
330,1
331,2
332,3
333,2
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,3
342,2
343,1
344,1
345,2
346,1
347,3
348,2
349,2
350,1
351,1
352,1
353,3
354,1
355,1
356,1
357,3
358,1
359,2
360,3
361,2
362,3
363,3
364,3
365,1
366,2
367,3
368,3
369,2
370,3
371,1
372,2
373,2
374,3
375,3
376,3
377,3
378,3
379,1
380,1
381,1
382,1
383,3
384,3
385,1
386,1
387,2
388,1
389,1
390,3
391,1
392,3
393,3
394,2
395,2
396,2
397,3
398,3
399,2
400,3
401,2
402,2
403,1
404,2
405,2
406,3
407,2
408,1
409,1
410,3
411,2
412,1
413,3
414,1
415,3
416,2
417,1
418,2
419,3
420,2
421,1
422,2
423,1
424,2
425,2
426,1
427,3
428,3
429,3
430,2
431,2
432,1
433,1
434,2
435,2
436,2
437,2
438,2
439,3
440,1
441,3
442,1
443,2
444,2
445,3
446,3
447,3
448,1
449,1
450,2
451,3
452,2
453,1
454,3
455,1
456,3
457,3
458,3
459,1
460,1
461,1
462,2
463,2
464,1
465,1
466,2
467,3
468,3
469,2
470,2
471,3
472,3
473,1
474,1
475,2
476,3
477,1
478,3
479,1
480,1
481,3
482,1
483,2
484,1
485,2
486,1
487,3
488,1
489,3
490,3
491,2
492,1
493,2
494,3
495,2
496,1
497,3
498,3
499,2
500,3
501,2
502,3
503,2
504,3
505,1
506,3
507,1
508,3
509,3
510,1
511,3
512,2
513,3
514,2
515,3
516,2
517,2
518,1
519,1
520,1
521,3
522,1
523,2
524,1
525,3
526,2
527,2
528,3
529,1
530,3
531,3
532,1
533,2
534,2
535,2
536,2
537,2
538,3
539,3
540,2
541,1
542,3
543,1
544,2
545,3
546,1
547,2
548,1
549,1
550,1
551,3
552,3
553,1
554,3
555,1
556,1
557,2
558,1
559,2
560,3
561,2
562,2
563,2
564,3
565,2
566,2
567,2
568,2
569,2
570,2
571,1
572,1
573,1
574,1
575,3
576,3
577,1
578,1
579,3
580,1
581,1
582,1
583,2
584,2
585,2
586,1
587,2
588,3
589,2
590,3
591,1
592,2
593,2
594,2
595,3
596,2
597,2
598,3
599,3
600,1
601,2
602,2
603,2
604,1
605,1
606,3
607,3
608,1
609,1
610,3
611,3
612,1
613,1
614,2
615,1
616,2
617,3
618,1
619,1
620,3
621,2
622,2
623,3
624,3
625,1
626,3
627,3
628,3
629,3
630,2
631,3
632,2
633,2
634,1
635,2
636,2
637,3
638,1
639,3
640,1
641,1
642,1
643,2
644,1
645,2
646,2
647,1
648,3
649,1
650,1
651,2
652,3
653,2
654,2
655,3
656,3
657,3
658,3
659,1
660,3
661,1
662,2
663,2
664,1
665,1
666,1
667,2
668,2
669,2
670,2
671,3
672,1
673,2
674,2
675,2
676,1
677,1
678,1
679,2
680,1
681,3
682,1
683,1
684,1
685,1
686,3
687,1
688,1
689,2
690,3
691,1
692,2
693,3
694,1
695,1
696,3
697,3
698,1
699,2
700,1
701,2
702,2
703,1
704,1
705,3
706,2
707,2
708,3
709,2
710,2
711,3
712,1
713,3
714,1
715,3
716,3
717,2
718,1
719,2
720,1
721,2
722,3
723,2
724,3
725,2
726,3
727,1
728,2
729,1
730,2
