Id,Category
0,3
1,1
2,2
3,3
4,3
5,2
6,3
7,1
8,1
9,3
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,3
18,3
19,1
20,2
21,1
22,1
23,1
24,1
25,3
26,1
27,2
28,1
29,3
30,1
31,1
32,1
33,2
34,3
35,3
36,1
37,3
38,2
39,1
40,1
41,1
42,1
43,3
44,3
45,2
46,2
47,3
48,2
49,1
50,1
51,3
52,3
53,3
54,1
55,3
56,1
57,2
58,3
59,3
60,3
61,2
62,3
63,3
64,1
65,2
66,3
67,1
68,2
69,3
70,1
71,1
72,1
73,2
74,1
75,1
76,2
77,3
78,1
79,1
80,1
81,1
82,3
83,2
84,2
85,2
86,3
87,3
88,3
89,3
90,3
91,3
92,1
93,2
94,3
95,3
96,3
97,3
98,2
99,1
100,3
101,2
102,3
103,1
104,3
105,1
106,2
107,2
108,1
109,2
110,3
111,2
112,3
113,3
114,1
115,2
116,2
117,2
118,2
119,3
120,1
121,2
122,2
123,2
124,3
125,2
126,2
127,1
128,3
129,3
130,1
131,1
132,2
133,1
134,2
135,1
136,2
137,1
138,3
139,1
140,3
141,2
142,2
143,3
144,1
145,3
146,2
147,3
148,3
149,1
150,2
151,1
152,2
153,2
154,1
155,2
156,1
157,2
158,1
159,3
160,2
161,2
162,2
163,1
164,1
165,1
166,2
167,3
168,3
169,1
170,3
171,1
172,3
173,3
174,2
175,3
176,1
177,2
178,2
179,1
180,2
181,3
182,2
183,3
184,2
185,1
186,1
187,3
188,1
189,3
190,3
191,1
192,3
193,3
194,3
195,1
196,1
197,1
198,3
199,1
200,2
201,3
202,3
203,2
204,1
205,2
206,1
207,3
208,3
209,1
210,3
211,2
212,2
213,2
214,2
215,3
216,3
217,2
218,2
219,1
220,1
221,3
222,3
223,1
224,2
225,1
226,3
227,3
228,1
229,2
230,2
231,3
232,2
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,1
242,2
243,1
244,1
245,1
246,2
247,3
248,1
249,3
250,1
251,3
252,1
253,2
254,2
255,3
256,1
257,3
258,1
259,1
260,3
261,3
262,3
263,1
264,3
265,3
266,1
267,3
268,3
269,3
270,3
271,1
272,3
273,2
274,2
275,2
276,2
277,2
278,3
279,3
280,2
281,3
282,3
283,3
284,2
285,3
286,1
287,2
288,2
289,2
290,2
291,1
292,2
293,3
294,2
295,3
296,2
297,1
298,1
299,3
300,3
301,1
302,1
303,3
304,2
305,2
306,3
307,3
308,3
309,2
310,2
311,3
312,1
313,3
314,1
315,2
316,1
317,2
318,1
319,2
320,1
321,3
322,1
323,1
324,1
325,1
326,2
327,1
328,2
329,3
330,1
331,2
332,2
333,1
334,3
335,3
336,3
337,2
338,1
339,2
340,3
341,1
342,3
343,3
344,1
345,3
346,1
347,3
348,2
349,3
350,1
351,2
352,2
353,1
354,2
355,2
356,3
357,3
358,1
359,3
360,1
361,3
362,3
363,3
364,2
365,3
366,2
367,2
368,3
369,1
370,3
371,2
372,3
373,1
374,2
375,3
376,3
377,3
378,2
379,1
380,2
381,3
382,3
383,3
384,2
385,1
386,2
387,3
388,2
389,3
390,1
391,2
392,3
393,2
394,2
395,3
396,1
397,1
398,1
399,2
400,2
401,2
402,2
403,1
404,3
405,1
406,2
407,2
408,3
409,2
410,3
411,2
412,3
413,2
414,1
415,2
416,1
417,1
418,1
419,1
420,1
421,3
422,1
423,2
424,3
425,3
426,2
427,1
428,2
429,3
430,2
431,3
432,2
433,2
434,1
435,2
436,1
437,1
438,3
439,1
440,3
441,1
442,3
443,3
444,3
445,2
446,2
447,2
448,2
449,1
450,1
451,2
452,3
453,3
454,1
455,2
456,1
457,1
458,1
459,2
460,3
461,3
462,3
463,3
464,1
465,1
466,1
467,3
468,2
469,3
470,1
471,1
472,1
473,1
474,1
475,2
476,3
477,2
478,3
479,3
480,3
481,2
482,2
483,3
484,2
485,2
486,2
487,1
488,3
489,3
490,1
491,1
492,2
493,3
494,1
495,1
496,2
497,1
498,1
499,3
500,3
501,1
502,2
503,1
504,2
505,2
506,1
507,3
508,3
509,2
510,2
511,1
512,3
513,3
514,1
515,3
516,1
517,2
518,2
519,2
520,1
521,3
522,1
523,2
524,3
525,3
526,2
527,3
528,2
529,1
530,2
531,2
532,1
533,2
534,2
535,2
536,3
537,2
538,1
539,2
540,1
541,2
542,1
543,1
544,3
545,2
546,3
547,3
548,3
549,3
550,3
551,2
552,1
553,2
554,2
555,1
556,3
557,2
558,1
559,2
560,1
561,3
562,3
563,1
564,1
565,1
566,2
567,1
568,3
569,2
570,1
571,1
572,2
573,3
574,3
575,3
576,2
577,3
578,1
579,1
580,2
581,3
582,1
583,2
584,1
585,1
586,1
587,3
588,2
589,3
590,3
591,2
592,3
593,3
594,2
595,3
596,2
597,3
598,3
599,2
600,3
601,2
602,2
603,2
604,1
605,1
606,3
607,1
608,1
609,1
610,2
611,1
612,2
613,3
614,2
615,2
616,1
617,3
618,2
619,1
620,3
621,3
622,1
623,1
624,2
625,2
626,1
627,1
628,3
629,2
630,3
631,1
632,1
633,2
634,3
635,1
636,1
637,3
638,2
639,3
640,2
641,1
642,3
643,1
644,2
645,1
646,3
647,1
648,2
649,3
650,2
651,1
652,3
653,2
654,3
655,1
656,2
657,1
658,2
659,2
660,3
661,2
662,1
663,1
664,3
665,1
666,3
667,3
668,2
669,1
670,1
671,1
672,2
673,2
674,2
675,1
676,1
677,2
678,3
679,3
680,1
681,3
682,1
683,2
684,1
685,1
686,2
687,1
688,2
689,3
690,1
691,1
692,1
693,1
694,3
695,2
696,3
697,3
698,3
699,1
700,1
701,2
702,3
703,3
704,2
705,3
706,1
707,2
708,2
709,3
710,3
711,2
712,1
713,2
714,3
715,3
716,3
717,3
718,3
719,1
720,2
721,1
722,2
723,2
724,3
725,1
726,2
727,1
728,2
729,2
730,2
731,1
732,2
733,2
734,3
735,3
736,1
737,2
738,3
739,3
740,3
741,1
742,2
743,2
744,2
745,2
746,2
747,2
748,3
749,1
